[2026-03-23T13:32:05.984Z] ℹ️  📊 StatsCollector initialized
[2026-03-25T03:44:44.592Z] ℹ️  Command executed: mod by nguynquminhh
[2026-03-25T03:44:52.732Z] ℹ️  Command executed: mod by nguynquminhh
[2026-03-25T03:54:57.417Z] ℹ️  ✅ Loaded command: ticketsetup
[2026-03-25T03:54:57.990Z] ℹ️  Command: nguynquminhh used cmd load
[2026-03-25T03:54:57.991Z] ℹ️  Command executed: cmd by nguynquminhh
[2026-03-25T03:55:01.747Z] ℹ️  Command executed: ticketsetup by nguynquminhh
[2026-03-25T03:55:50.249Z] ℹ️  Command executed: ticketsetup by nguynquminhh
[2026-03-25T03:56:47.996Z] ℹ️  Command executed: ticketsetup by nguyenminh.2608
[2026-03-25T03:57:07.565Z] ℹ️  ✅ Loaded command: ticketsetup
[2026-03-25T03:57:08.227Z] ℹ️  Command: nguynquminhh used cmd load
[2026-03-25T03:57:08.228Z] ℹ️  Command executed: cmd by nguynquminhh
[2026-03-25T03:57:42.320Z] ℹ️  Command executed: ticketsetup by nguynquminhh
